agent_id,total_reward,initial_portfolio,final_portfolio,pct_return,avg_return_per_step
agent_0,-2.9724858594345984,45401.83713773484,43178.04123375341,-0.04898030661700177,-13.559731121837991
agent_1,-2.9724858594345984,45401.83713773484,47411.940022205556,0.0442736023736815,12.256724905309255
agent_2,-2.9724858594345984,45401.83713773484,40755.37440941259,-0.10234085273303699,-28.332089806842994
agent_3,-2.9724858594345984,45401.83713773484,40763.726711963856,-0.10215688875541355,-28.281161132749887
agent_4,-2.9724858594345984,45401.83713773484,50716.774189686024,0.11706436098229563,32.40815275579992
agent_5,-2.9724858594345984,45401.83713773484,48342.66603538915,0.0647733458171035,17.931883522282387
agent_6,-2.9724858594345984,45401.83713773484,70349.88475487157,0.5494942317301442,152.1222415679069
agent_7,-2.9724858594345984,45401.83713773484,38161.51272365972,-0.15947205819249696,-44.14831959801902
agent_8,-2.9724858594345984,45401.83713773484,40171.02443382665,-0.11521147675235155,-31.89519941407432
agent_9,-2.9724858594345984,45401.83713773484,39983.64906761571,-0.11933852045858968,-33.03773213487272
agent_10,-2.9724858594345984,45675.59440091843,55615.13124535009,0.2176115488982404,60.6069319782418
TOTAL,-32.69734445378058,499693.96577826684,515449.72482773435,0.0315308171170891,96.07170152114335
