date,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
2019-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-289.109130859375
2019-12-02,0.0,89.08000183105469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-573.306396484375
2019-12-03,0.0,88.49800109863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-569.46142578125
2019-12-04,63.28544235229492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-286.4875793457031
2019-12-05,0.0,87.02400207519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-574.0054321289062
2019-12-06,0.0,87.58000183105469,0.0,50.11164093017578,200.1068878173828,0.0,0.0,0.0,0.0,0.0,-868.8726196289062
2019-12-09,0.0,0.0,0.0,49.864646911621094,0.0,0.0,0.0,0.0,0.0,0.0,-866.1407775878906
2019-12-10,0.0,86.96050262451172,0.0,0.0,0.0,0.0,293.1199951171875,0.0,23.256000518798828,0.0,-576.783203125
2019-12-11,0.0,0.0,0.0,0.0,0.0,0.0,298.92999267578125,0.0,0.0,0.0,-578.42041015625
2019-12-12,0.0,88.0165023803711,67.10368347167969,0.0,0.0,0.0,596.8800048828125,5.577851295471191,23.978666305541992,0.0,-875.1089172363281
2019-12-13,0.0,0.0,67.0230712890625,0.0,0.0,0.0,597.0,0.0,23.892667770385742,0.0,-875.6332397460938
2019-12-16,0.0,0.0,67.71127319335938,50.89670944213867,0.0,0.0,912.6299743652344,0.0,25.433332443237305,0.0,-881.6487121582031
2019-12-17,67.79959869384766,0.0,67.42215728759766,50.543861389160156,0.0,147.39208984375,630.9600219726562,0.0,25.266000747680664,0.0,-881.8421630859375
2019-12-18,0.0,0.0,0.0,100.85838317871094,0.0,147.08718872070312,641.5999755859375,0.0,0.0,0.0,-1175.86279296875
2019-12-19,0.0,0.0,0.0,102.25209045410156,0.0,0.0,664.4400024414062,0.0,0.0,0.0,-1475.8535766601562
2019-12-20,0.0,0.0,0.0,51.99931716918945,0.0,0.0,673.7999877929688,5.958719253540039,0.0,0.0,-1482.3239135742188
2019-12-23,0.0,0.0,0.0,0.0,0.0,0.0,333.1000061035156,5.9450273513793945,0.0,54.16472625732422,-1484.588623046875
2019-12-24,68.7328872680664,0.0,66.90164184570312,0.0,0.0,0.0,333.20001220703125,11.880097389221191,0.0,0.0,-1781.5621948242188
2019-12-26,0.0,0.0,67.79934692382812,0.0,0.0,0.0,0.0,11.908477783203125,0.0,0.0,-1492.5379943847656
