Date,AAPL,AMZN,GOOGL,INTC,META,MSFT,NFLX,NVDA,TSLA,XOM,SPY
2017-09-26,35.8109016418457,46.93000030517578,46.648475646972656,31.270599365234375,163.439697265625,67.27827453613281,179.3800048828125,4.2491888999938965,23.016666412353516,56.593177795410156,220.61720275878906
2017-09-27,36.06580352783203,47.54349899291992,47.76662826538086,31.329011917114258,166.8934326171875,67.8200912475586,181.97000122070312,4.342347145080566,22.731332778930664,56.97097396850586,221.47634887695312
2017-09-28,35.843658447265625,47.81999969482422,48.010963439941406,31.57103729248047,167.93849182128906,67.83848571777344,180.6999969482422,4.34111213684082,22.639999389648438,57.50269317626953,221.74209594726562
2017-09-29,36.04008483886719,48.067501068115234,48.454341888427734,31.779680252075195,170.06846618652344,68.40785217285156,181.35000610351562,4.41746711730957,22.739999771118164,57.35578536987305,222.52146911621094
2017-10-02,35.96759796142578,47.95949935913086,48.14332962036133,32.580841064453125,168.67503356933594,68.51803588867188,177.00999450683594,4.423149585723877,22.768667221069336,57.110923767089844,223.48696899414062
2017-10-03,36.124267578125,47.85499954223633,48.37273406982422,32.864593505859375,169.16275024414062,68.1966323852539,179.19000244140625,4.432292938232422,23.209333419799805,57.201866149902344,223.9652557373047
2017-10-04,35.89040756225586,48.272499084472656,48.10898971557617,32.83120346069336,167.62997436523438,68.59149932861328,184.4499969482422,4.469357013702393,23.667333602905273,57.22284698486328,224.23097229003906
2017-10-05,36.337059020996094,49.04249954223633,49.02511215209961,32.989768981933594,170.43673706054688,69.7669906616211,194.38999938964844,4.466887474060059,23.68866729736328,57.383766174316406,225.55958557128906
2017-10-06,36.31601333618164,49.479000091552734,49.44560623168945,33.073238372802734,171.42208862304688,69.79454040527344,198.02000427246094,4.479983329772949,23.79199981689453,57.166893005371094,225.30270385742188
2017-10-09,36.442283630371094,49.54949951171875,49.379425048828125,33.265174865722656,171.69081115722656,70.0608901977539,196.8699951171875,4.581048488616943,22.862667083740234,57.390769958496094,224.9307098388672
2017-10-10,36.45632553100586,49.36000061035156,49.15499496459961,33.08991622924805,170.78509521484375,70.0608901977539,195.0800018310547,4.66852331161499,23.70599937438965,57.55168151855469,225.52415466308594
2017-10-11,36.60832595825195,49.75,50.043243408203125,32.79782485961914,171.9296875,70.18028259277344,194.9499969482422,4.718191623687744,23.639999389648438,57.789546966552734,225.87841796875
2017-10-12,36.479713439941406,50.04650115966797,50.043243408203125,32.706024169921875,171.74057006835938,70.82312774658203,195.86000061035156,4.7204155921936035,23.711999893188477,57.67061996459961,225.54185485839844
2017-10-13,36.711212158203125,50.14699935913086,50.15372085571289,33.106605529785156,172.92501831054688,71.16287994384766,199.49000549316406,4.808383464813232,23.704666137695312,57.6566276550293,225.81640625
2017-10-16,37.38703155517578,50.31700134277344,50.22736358642578,33.181724548339844,173.70135498046875,71.309814453125,202.67999267578125,4.890915870666504,23.373332977294922,57.93647003173828,226.11758422851562
2017-10-17,37.524986267089844,50.45650100708008,50.309471130371094,33.206756591796875,175.2838897705078,71.25471496582031,199.47999572753906,4.886467456817627,23.71666717529297,58.04143524169922,226.2770233154297
2017-10-18,37.35895919799805,49.849998474121094,50.396060943603516,33.59064483642578,175.20425415039062,71.2730941772461,195.5399932861328,4.88226842880249,23.976667404174805,57.90150833129883,226.49844360351562
2017-10-19,36.475032806396484,49.330501556396484,49.8536491394043,33.45712661743164,173.7411651611328,71.5486068725586,195.1300048828125,4.8877058029174805,23.45400047302246,57.887508392333984,226.56039428710938
2017-10-20,36.538169860839844,49.14550018310547,50.01438522338867,33.740867614746094,174.1591796875,72.37510681152344,194.16000366210938,4.865466117858887,23.00666618347168,58.14638137817383,227.7296142578125
2017-10-23,36.51945495605469,48.314998626708984,49.04253005981445,34.07468032836914,170.4665985107422,72.3934555053711,192.47000122070312,4.858546257019043,22.468000411987305,58.23731231689453,226.84384155273438
2017-10-24,36.7369499206543,48.79499816894531,49.1893310546875,34.174842834472656,170.99411010742188,72.42102813720703,196.02000427246094,4.909449577331543,22.48933219909668,58.398216247558594,227.24241638183594
2017-10-25,36.575592041015625,48.64550018310547,49.33712387084961,34.032958984375,169.7997589111328,72.20980072021484,193.77000427246094,4.785402774810791,21.722667694091797,58.188358306884766,226.11758422851562
2017-10-26,36.809417724609375,48.621498107910156,49.33512878417969,34.5086555480957,169.82958984375,72.32918548583984,195.2100067138672,4.835565090179443,21.744667053222656,58.398216247558594,226.4098663330078
2017-10-27,38.12831497192383,55.04750061035156,51.43757629394531,37.05403518676758,177.0455780029297,76.96686553955078,199.5399932861328,4.988028049468994,21.391332626342773,58.56612777709961,228.2610626220703
2017-10-30,38.98651885986328,55.54249954223633,51.41070556640625,37.028987884521484,179.02622985839844,77.04032897949219,198.3699951171875,5.036954402923584,21.338666915893555,58.447200775146484,227.4107208251953
2017-10-31,39.52903366088867,55.263999938964844,51.40623474121094,37.96369171142578,179.21534729003906,76.38829040527344,196.42999267578125,5.110344409942627,22.101999282836914,58.31428527832031,227.76502990722656
2017-11-01,39.02627944946289,55.183998107910156,51.8819580078125,38.98183822631836,181.8031463623047,76.38829040527344,198.0,5.119980335235596,21.405332565307617,58.67808532714844,228.066162109375
2017-11-02,39.311561584472656,54.71099853515625,51.900367736816406,39.307315826416016,178.0806884765625,77.18726348876953,199.32000732421875,5.088845729827881,19.950666427612305,58.44020080566406,228.15475463867188
2017-11-03,40.338138580322266,55.58000183105469,52.24969482421875,38.67304992675781,178.0806884765625,77.2699203491211,200.00999450683594,5.156801223754883,20.4060001373291,58.19534683227539,228.91648864746094
